美股 MRMC + NX 自动筛选摘要
生成时间: 2026-03-22T14:48:28
市场环境: risk_off
正向指数数量: 0
股票池数量: 587
有效扫描数量: 572
候选清单:
- AMAT | weekly_trend_resonance | score=97.0 | tf=1w | sector=semis | note=周线趋势走强，日线同步维持右侧结构
- LITE | weekly_trend_resonance | score=97.0 | tf=1w | sector=semis | note=周线趋势走强，日线同步维持右侧结构
- LRCX | weekly_trend_resonance | score=97.0 | tf=1w | sector=semis | note=周线趋势走强，日线同步维持右侧结构
- MRVL | weekly_trend_resonance | score=97.0 | tf=1w | sector=semis | note=周线趋势走强，日线同步维持右侧结构
- VRT | weekly_trend_resonance | score=97.0 | tf=1w | sector=semis | note=周线趋势走强，日线同步维持右侧结构
- AMAT | blue_above_yellow_trend_daily | score=96.0 | tf=1d | sector=semis | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- LITE | blue_above_yellow_trend_daily | score=96.0 | tf=1d | sector=semis | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- LRCX | blue_above_yellow_trend_daily | score=96.0 | tf=1d | sector=semis | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- MRVL | blue_above_yellow_trend_daily | score=96.0 | tf=1d | sector=semis | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- VRT | blue_above_yellow_trend_daily | score=96.0 | tf=1d | sector=semis | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- ARM | daily_sweet_spot | score=96.0 | tf=1d | sector=semis | note=突破蓝黄梯后回踩支撑，符合日线甜点结构
- NET | blue_above_yellow_trend_daily | score=91.33 | tf=1d | sector=cloud_security | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- NET | weekly_trend_resonance | score=91.28 | tf=1w | sector=cloud_security | note=周线趋势走强，日线同步维持右侧结构
- NBIS | daily_sweet_spot | score=89.0 | tf=1d | sector= | note=突破蓝黄梯后回踩支撑，符合日线甜点结构
- NVT | daily_sweet_spot | score=89.0 | tf=1d | sector= | note=突破蓝黄梯后回踩支撑，符合日线甜点结构
- SEI | daily_sweet_spot | score=89.0 | tf=1d | sector= | note=突破蓝黄梯后回踩支撑，符合日线甜点结构
- TSEM | daily_sweet_spot | score=89.0 | tf=1d | sector= | note=突破蓝黄梯后回踩支撑，符合日线甜点结构
- ACLX | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- AXTI | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CF | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CIEN | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CNQ | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CTRA | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CVE | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- CVX | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- DELL | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- DINO | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- DOCN | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- DVN | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
- ENB | blue_above_yellow_trend_daily | score=88.0 | tf=1d | sector= | note=日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方
